CA Skateparks!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,City,County,Address,Free,Lights,Helmet/Pads,Notes,Exist,Visited,Column1,,,,,,,
Carlsbad Skatepark,Carlsbad,San Diego County,2560 Orion way,Y,Y,Y,,,N,,,,,,,,
Alga Norte Skatepark,Carlsbad,San Diego County,6565 Alicante Rd.,Y,Y,,,,N,,,,,,,,
La Sierra Skatepark,Carmichael,Sacramento County,5325 Engle Rd,N,,Y,,,N,,,,,,,,
Adobe Skatepark,Castro Valley,Alameda County,20373 San Miguel Ave.,Y,,,,,N,,,,,,,,
Skatepark - Castroville,Castroville,Monterey County,11261 Crane Street,,,,,,N,,,,,,,,
Cayucos Ramp,Cayucos,San Luis Obispo County,,Y,N,N,Not On C.D.,,N,,,,,,,,
Orkin/Hsiang Memorial Skatepark,Ceres,Stanislaus County,Moffett Rd At Fowler Rd,Y,N,Y,,,N,,,,,,,,
Chico Skatepark,Chico,Butte County,300 Humbolt,Y,,,,,N,,,,,,,,
Chula Vista Salt Creek Park,Chula Vista,San Diego County,1234 North Creekside Drive,Y,N,N,,,N,,,,,,,,
Heritage Park,Chula Vista,San Diego County,1381 E Palomar St,Y,N,,,,N,,,,,,,,
Len Moore Chula Vista Skatepark,Chula Vista,San Diego County,1301 Oleander Avenue,N,Y,Y,,,N,,,,,,,,
Montevalle Park Skatepark,Chula Vista,San Diego County,820 Duncan Ranch Rd,Y,N,,,,N,,,,,,,,
Santa Venetia Skatespot,Chula Vista,San Diego County,1500 Magdelana,Y,N,,,,N,,,,,,,,
Veterans Park Skatepark,Chula Vista,San Diego County,785 E Palomar St,Y,N,,,,N,,,,,,,,
Winding Walk Skatepark,Chula Vista,San Diego County,1675 Exploration Falls Dr,Y,N,,,,N,,,,,,,,
Rusch Park Skatepark,Citrus Heights,Sacramento County,Antelope road and Auburn blvd.,,,Y,,,N,,,,,,,,
Surf and Skate Skatepark,Citrus Heights,Sacramento County,7411 Greenback Lane,,,,,,N,,,,,,,,
Mission Valley YMCA Krause Family Skatepark,Clairemont,San Diego County,3401 Clairemont Drive,N,Y,Y,,,N,,,,,,,,
Clearlake Skatepark,Clearlake,Lake County,Austin Park,Y,N,Y,,,N,,,,,,,,
Cloverdale Boys & Girls Club Skatepark,Cloverdale,Sonoma County,76 Tarman Dr,,,,,,N,,,,,,,,
Clovis Skatepark,Clovis,Fresno County,Villa Ave At W 9th St.,Y,Y,Y,,,N,,,,,,,,
Dateland Skatepark,Coachella,Riverside County,Cairo Ave. and Shady Lane,Y,Y,,,,N,,,,,,,,
Wilson Skatepark,Compton,Los Angeles County,123 N. Rose Ave.,,,,,,N,,,,,,,,
Concord Skatepark,Concord,Contra Costa County,Galindo St. and Cowell Rd,Y,Y,,,,N,,,,,,,,
Corning Skatepark,Corning,Tehama County,1485 Toomes Ave,,,,,,N,,,,,,,,
Harada Heritage Skatepark,Corona,Riverside County,6732 Cleveland Ave.,Y,Y,,,,N,,,,,,,,
Coronado Skateboard Park,Coronado,San Diego County,2000 Mullinix Dr,N,N,Y,,,N,,,,,,,,
Corte Madera Skatepark,Corte Madera,Marin County,Pixley Ave and Tamalpais,Y,N,,,,N,,,,,,,,
Volcom Skate Park,Costa Mesa,Orange County,Newport Blvd and Arlington Dr.,Y,Y,N,,,N,,,,,,,,
Crescent City Skatepark,Crescent City,Del Norte County,501 5th st,,,,,,N,,,,,,,,
Community Park Skatepark,Davis,Yolo County,1405 F St.,Y,Y,Y,,,N,,,,,,,,
Delano Skatepark,Delano,Kern County,cecil avenue,Y,Y,N,Duplicate,,N,,,,,,,,
Delhi Skate Park,Delhi,Merced County,Shanks Rd & Schendel Ave,,,,,,N,,,,,,,,
Desert Hot Springs Skatepark,Desert Hot Springs,Riverside County,West Dr. and Pierson Blvd.,Y,N,Y,,,N,,,,,,,,
Guy Tedesco Skatepark,Desert Hot Springs,Riverside County,12-800 West Arroyo Drive,Y,Y,,,,N,,,,,,,,
Dixon Skatepark,Dixon,Solano County,hall park,Y,N,N,,,N,,,,,,,,
Dublin Skatepark,Dublin,Alameda County,Tassajara and Gleason Dr.,Y,N,Y,,,N,,,,,,,,
Rainbow Recreation Center Skatepark,East Oakland,Alameda County,5800 International Blvd,,,,,,N,,,,,,,,
Arnold SkatePark Area,Edwards AFB,Kern County,227 N Rosamond Blvd,,,,,?,N,,,,,,,,
Kennedy Skatepark,El Cajon,San Diego County,1675 E. Madison Ave,Y,Y,Y,,,N,,,,,,,,
RENETTE PARK,El Cajon,San Diego County,935 So. Emerald Avenue,,,,,,N,,,,,,,,
Sidewinder Skate Park,El Centro,Imperial County,6th St,Y,Y,,,,N,,,,,,,,
El Dorado Hills Skate Park,El Dorado Hills,El Dorado County,1021 Harvard Way,,Y,Y,,,N,,,,,,,,
Derr-Okamoto Skatepark,Elk Grove,Sacramento County,9550 Mainline Drive,Y,N,N,,,N,,,,,,,,
Elk Grove Skate Park,Elk Grove,Sacramento County,9014 Bruceville Road,N,Y,N,,,N,,,,,,,,
Elk Grove Teen Center Skatepark,Elk Grove,Sacramento County,,,,,,,N,,,,,,,,
Morse Park,Elk Grove,Sacramento County,"5540 Bellaterra Dr, Elk Grove, CA",Y,N,N,,,N,,,,,,,,
Encinitas Skate Plaza,Encinitas,San Diego County,429 Santa Fe Dr,Y,,,,,N,,,,,,,,
Magdalena Ecke Family YMCA,Encinitas,San Diego County,200 Saxony Rd,N,Y,Y,,,N,,,,,,,,
Escondido Sports Complex ,Escondido,San Diego County,3315 Bear Valley Parkway,N,Y,Y,,,N,,,,,,,,
Eureka Skate Park,Eureka,Humboldt County,1720 10th Street,,,,,,N,,,,,,,,
Allan Witt Rotary Skate Park,Fairfield,Solano County,Woolner Ave. and Vine Dr.,,,,,,N,,,,,,,,
Travis AFB Skatepark,Fairfield,Solano County,,Y,,Y,,,N,,,,,,,,
Boys and Girls Club Skatepark,Fallbrook,San Diego County,445 E. Ivy St.,,,,,Not yet,N,,,,,,,,
Maldonado Skate Park,Firebaugh,Fresno County,Clyde Fannon Rd. and Thomas Conboy Rd.,,,,,,N,,,,,,,,
Mathy Bethune Skate Park,Florence,Los Angeles County,Hooper & Gage Ave,Y,Y,Y,,,N,,,,,,,,
Folsom Skatepark,Folsom,Sacramento County,1775 Creekside Dr.,N,Y,Y,,,N,,,,,,,,
Fort Bragg Skatepark,Fort Bragg,Mendocino County,"300 S Lincoln St, Fort Bragg, CA 95437",,,,Not On C.D.,,N,,,,,,,,
Frazier SkatePark,Frazier Park,Kern County,4001 Frazier Mountain Rd.,,,,,,N,,,,,,,,
Fremont Skate Park,Fremont,Alameda County,Central Park,Y,Y,,Duplicate,,N,,,,,,,,
Lion's Den Skatepark,Fresno,Fresno County,4650 N. Marks,Y,Y,N,,,N,,,,,,,,
Mosqueda,Fresno,Fresno County,4670 E. Butler,Y,,N,Bikes only; Duplicate,,N,,,,,,,,
Galt Skate Park,Galt,Sacramento County,660 Chabolla Ave,Y,N,,,,N,,,,,,,,
Arthur Lee Johnson Memorial Park Skatepark,Gardena,Los Angeles County,Arthur Lee Johnson Memorial Park,Y,N,N,,,N,,,,,,,,
Rowley Park Skatepark,Gardena,Los Angeles County,Rowley Park,Y,,,,,N,,,,,,,,
Gonzales Skatepark,Gonzales,Monterey County,205 Elko St & First St,,,,,,N,,,,,,,,
Grass Valley Skatepark,Grass Valley,Nevada County,Minnie St. and Butler,,,N,,,N,,,,,,,,
Greenfield Skatepark,Greenfield,Monterey County,Oak Ave. and 13th St.,,,,,,N,,,,,,,,
Skatepark - Gridley,Gridley,Butte County,Spruce St. and Washington St.,Y,,,,,N,,,,,,,,
Skatepark - Groveland,Groveland,Tuolumne County,18636 Main St,,,,,?,N,,,,,,,,
South County Skate Park,Grover Beach,San Luis Obispo County,1750 Ramona Avenue.,N,N,Y,,,N,,,,,,,,
Half Moon Bay Skatepark,Half Moon Bay,,,,,,,Not yet,N,,,,,,,,
H-town skatepark,Hanford,Kings County,415 Ford St.,Y,Y,N,,,N,,,,,,,,
Larry Guidi Skatepark,Hawthorne,Los Angeles County,12100 Inglewood Ave,Y,Y,Y,,,N,,,,,,,,
Hayward Skatepark,Hayward,Alameda County,W Tennyson Rd and Huntwood Ave,Y,N,N,,,N,,,,,,,,
Carson Warner Skatepark,Healdsburg,Sonoma County,1300 Grove St,,,,,,N,,,,,,,,
Hollister Skatepark,Hollister,San Benito County,2301 Memorial Dr,,,,,,N,,,,,,,,
